id,S
H0,0.48970582666873835
H1,0.6660316073545427
H2,0.38949635991650094
H3,0.7041654847621176
H4,0.4991779796816323
H5,0.07962415156019627
H6,0.45476392648311764
H7,0.7483985560229511
H8,0.7946710380430884
H9,0.6355430559409971
H10,0.5312009740926065
H11,0.3953161033627381
H12,0.035531862358527525
H13,0.07171055300234756
H14,0.559393520269293
H15,0.811199717277619
H16,0.014709442294926276
H17,0.8108713234855656
H18,0.778383023705784
H19,0.015386015102844782
H20,0.5588291615849681
H21,0.6920392260595517
H22,0.8005214625267669
H23,0.45712741217899494
H24,0.3703593526129329
H25,0.8081192460876504
H26,0.6698860769674719
H27,0.6560297317306362
H28,0.6701393271898324
H29,0.7543405341391889
H30,0.5666097983528091
H31,0.797320482240291
H32,0.07885958914409834
H33,0.8057188442234442
H34,0.6394543346575065
H35,0.3039762945488015
H36,0.5491279249392783
H37,0.7098972623734003
H38,0.7759023576034423
H39,0.7750721120034375
H40,0.06877660540344022
H41,0.5537434099087999
H42,0.7231737607630071
H43,0.19797673157320272
H44,0.8009213310293621
H45,0.6406291438519223
H46,0.06979801004623859
H47,0.8156467194064756
H48,0.4234912315350714
H49,0.5373713086887996
H50,0.556943745707615
H51,0.4108986989536786
H52,0.38400516379413824
H53,0.7775031737624533
H54,0.13672175773731285
H55,0.8214493606390371
H56,0.6277512000497272
H57,0.2721582181427433
H58,0.24841729821692343
H59,0.022614619258767156
H60,0.2621457911454496
H61,0.690249335033369
H62,0.6141540933673002
H63,0.48352258743072823
H64,0.6958666457525455
H65,0.0010798697197597672
H66,0.670684236851675
H67,0.012942727097672066
H68,0.5997024234706639
H69,0.7821489050942498
H70,0.17162805333323125
H71,0.44077084928594307
H72,0.34855092213797234
H73,0.7880906589742722
H74,0.5791186994853674
H75,0.2242309154180594
H76,0.7913084353973854
H77,0.5622827539958366
H78,0.5257749281008999
H79,0.49402671390165004
H80,0.04385492865442468
H81,0.7683753133584675
H82,0.11967607882897514
H83,0.5733791760037465
H84,0.7693802112678029
H85,0.6986979205451505
H86,0.6993517713041438
H87,0.8001746029697197
H88,0.7607729488667514
H89,0.265179874935804
H90,0.15336139552053255
H91,0.07297452801969201
H92,0.06135266701854563
H93,0.5696891135333649
H94,0.6869298880076714
H95,0.5240628525076393
H96,0.7893185019670399
H97,0.38753271849820564
H98,0.4125803685265635
H99,0.7675928221766752
H100,0.8186001276599716
H101,0.7088241302098252
H102,0.44464505722432973
H103,0.1954123599763027
H104,0.2535639668421203
H105,0.11617734622344703
H106,0.813452621102143
H107,0.6050303308037333
H108,0.7957642872604227
H109,0.42548694883949695
H110,0.45101162768169956
H111,0.7884501449805188
H112,0.7355772894457108
H113,0.5742129066479498
H114,0.3458111684751602
H115,0.733739169203771
H116,0.051457561720821485
H117,0.1576696848560925
H118,0.4911351839513825
H119,0.3838601019994923
H120,0.004066292770458789
H121,0.5314314727894641
H122,0.42462940635430346
H123,0.6452824742345526
H124,0.04725609941819491
H125,0.26852515540052085
H126,0.573367780947108
H127,0.7502048834686744
H128,0.357894217478163
H129,0.7993149959132821
H130,0.23096190338653014
H131,0.1228389861162494
H132,0.7856586252794681
H133,0.22604995022946717
H134,0.22327271993037606
H135,0.8136048903399173
H136,0.28879139629909956
H137,0.7031711845557584
H138,0.23636244990288519
H139,0.44733046339782645
H140,0.7234398004672509
H141,0.7101922047272234
H142,0.5778078681457214
H143,0.6154842867302044
H144,0.4471763876027812
H145,0.15691501922353437
H146,0.03195378674259117
H147,0.6055146625102248
H148,0.5485677688233295
H149,0.6720858545415415
H150,0.52271341730651
H151,0.7925437038771033
H152,0.5486012020713875
H153,0.6755901106250124
H154,0.7039776362015094
H155,0.17158902654237398
H156,0.0093143784210431
H157,0.7971641969442185
H158,0.17417774059293828
H159,0.5350149454835854
H160,0.21777354170876959
H161,0.6630788305266513
H162,0.11287860262341351
H163,0.02714963576149381
H164,0.17564617183616696
H165,0.7856285279295553
H166,0.7398028603035509
H167,0.8073000925196202
H168,0.7592096795553795
H169,0.8269995246405013
H170,0.7898379317317955
H171,0.7415976089235948
H172,0.0797086846595019
H173,0.3331762837217663
H174,0.7901146551466903
H175,0.7846119219658686
H176,0.0027003750871782807
H177,0.4483780227437769
H178,0.7903259881049086
H179,0.3291470451710285
H180,0.3920338500090711
H181,0.6481880812566625
H182,0.26924015844725224
H183,0.21385914632818015
H184,0.38509257552529697
H185,0.5661625277809941
H186,0.012213077987885635
H187,0.04721698207434183
H188,0.8161039846814645
H189,0.7769136645358972
H190,0.4253952132610618
H191,0.508384514372552
H192,0.6980205105897289
H193,0.49958614446961824
H194,0.04851119907627113
H195,0.3971322046319516
H196,0.8143610146747494
H197,0.7983772652577327
H198,0.018660580067120996
H199,0.8268346433376661
H200,0.6184406116306019
H201,0.017097010000294226
H202,0.7956271643544274
H203,0.21701843586540234
H204,0.8114196705786464
H205,0.7634593887674119
H206,0.5389727206474679
H207,0.7504370124674542
H208,0.012733890637844572
H209,0.5655389243493654
H210,0.5314937638847405
H211,0.10453284358660106
H212,0.0751653540730909
H213,0.5029336813255779
H214,0.7685888671359001
H215,0.6770283582405757
H216,0.6174501950389663
H217,0.5787911064147013
H218,0.0954231570072763
H219,0.14187316419605123
H220,0.781532465563201
H221,0.04235469915063924
H222,0.01051641726578541
H223,0.047521858584516546
H224,0.284906821717295
H225,0.015425760124760497
H226,0.7471742282081227
H227,0.15692525015150796
H228,0.3719714855299722
H229,0.7224070457917043
H230,0.4156053233321578
H231,0.24082419361632654
H232,0.03415310082378192
H233,0.01933727699577683
H234,0.14667527836537544
H235,0.3649868028424286
H236,0.30135070738320896
H237,0.7678350171732746
H238,0.829997605956524
H239,0.8266090600543677
H240,0.2552246625794232
H241,0.6587412070311123
H242,0.6544493881349155
H243,0.6319420701549112
H244,0.6842485204693791
H245,0.7138840235959641
H246,0.18688608295951883
H247,0.4918191627122975
H248,0.3695311804076099
H249,0.8330974867993524
H250,0.6418776380466957
H251,0.36061272544962886
H252,0.1429133850296469
H253,0.748614354837704
H254,0.6068415439668121
H255,0.3957008184077112
H256,0.5296346153314478
H257,0.7587110239631749
H258,0.5008948162737962
H259,0.3416165471102886
H260,0.6088819938920977
H261,0.8235536742763139
H262,0.05780030189111723
H263,0.6402067250107978
H264,0.8079956875282898
H265,0.665741181143232
H266,0.6409040820628967
H267,0.21873094619649433
H268,0.783592048222146
H269,0.7346049832619682
H270,0.4211746204056983
H271,0.2419484376012602
H272,0.8306964563669963
H273,0.05630263035492829
H274,0.7964537867677993
H275,0.25040511865833925
H276,0.10571123830058586
H277,0.014082076419603249
H278,0.08996299886779462
H279,0.10785685643677094
H280,0.7760199167182276
H281,0.3589816335392362
H282,0.7861012414237272
H283,0.5977636098293124
H284,0.6891944674459208
H285,0.47771791706630456
H286,0.8190839279549262
H287,0.7823021615931309
H288,0.7953285157292577
H289,0.4307386498695588
H290,0.47228596247460786
H291,0.621186627987097
H292,0.6816145986347673
H293,0.8008159479133075
H294,0.17940292047695316
H295,0.28781110714103625
H296,0.16878083989879988
H297,0.8038371671789867
H298,0.29097192552316936
H299,0.7386397340296786
H300,0.7884064866477248
H301,0.09343215758861476
H302,0.6735764893744961
H303,0.23807118604350988
H304,0.7617517911960359
H305,0.09800914105098206
H306,0.15174011458232764
H307,0.5244077377329608
H308,0.7814610742898299
H309,0.7209092598325988
H310,0.8005254484970893
H311,0.7621924386344666
H312,0.7752496707453785
H313,0.5707616677897049
H314,0.27123748444711954
H315,0.7975195052971776
H316,0.79345122248894
H317,0.6699909397238728
H318,0.6682698688349081
H319,0.8055564106675053
H320,0.43773160782266946
H321,0.7034218987715388
H322,0.1739145472400432
H323,0.31507466155975583
H324,0.0041337290125934775
H325,0.38631546102768843
H326,0.20148070592010534
H327,0.26836664255384957
H328,0.34575633556884355
H329,0.6025338105922109
H330,0.549049241298489
H331,0.7760240794527534
H332,0.3841695747747014
H333,0.10532594855740576
H334,0.6121236096509077
H335,0.7578668070958569
H336,0.7257837772801531
H337,0.7453253034225944
H338,0.7919370062866049
H339,0.04641822023598573
H340,0.3129924756280863
H341,0.2715714695447031
H342,0.5232574587222558
H343,0.48453757518827084
H344,0.7150686323273057
H345,0.5554140152834878
H346,0.015175440684436985
H347,0.7591684780708217
H348,0.012950634911281109
H349,0.11847075421202519
H350,0.1712189482439347
H351,0.5658731052008388
H352,0.3094568289999174
H353,0.45446247483777186
H354,0.4061202149874578
H355,0.28285309069530584
H356,0.2883755527084002
H357,0.22480090003223002
H358,0.39007671735670935
H359,0.34292513177126316
H360,0.7999941703801754
H361,0.08634265206421386
H362,0.8067056615094063
H363,0.8034394512819699
H364,0.07285243034626834
H365,0.3004752278065247
H366,0.30695952544037525
H367,0.2096211895322353
H368,0.3415112396926689
H369,0.37112050499657573
H370,0.8205584487816092
H371,0.5789412262288876
H372,0.023886298324828723
H373,0.3832903888150034
H374,0.6975398633098683
H375,0.8175600889784349
H376,0.7534189130744249
H377,0.017258280020933593
H378,0.19652588287700237
H379,0.6356301166669466
H380,0.8169830402024345
H381,0.7892970038668378
H382,0.6156041485248547
H383,0.7209603571308444
H384,0.06923335565180355
H385,0.7297302666312306
H386,0.012664927250741972
H387,0.8449074400575814
H388,0.4992307192309832
H389,0.286304976894818
H390,0.7564761196115632
H391,0.8062093827915171
H392,0.5781030854849584
H393,0.3289307443057395
H394,0.7344861342775567
H395,0.009108207396313567
H396,0.7250528949028565
H397,0.7885822362201208
H398,0.36882369345940713
H399,0.7032439806957476
H400,0.5481488747662417
H401,0.056684162278639705
H402,0.5945397113817131
H403,0.6772061781217864
H404,0.5867658068412016
H405,0.20911559097992133
H406,0.5742721474882212
H407,0.12763851996022213
H408,0.4905776783134577
H409,0.3948095599541958
H410,0.31351773950092193
H411,0.7481614033665285
H412,0.007318907736716521
H413,0.5989250008444902
H414,0.6033180667243672
H415,0.5903581321556647
H416,0.6037417074424208
H417,0.6590869266557223
H418,0.4419173481425057
H419,0.7101619182845392
H420,0.5679587210076924
H421,0.018896907971717537
H422,0.3932074032715979
H423,0.1043760941787491
H424,0.13279206512150996
H425,0.7984949697343073
H426,0.5852100902315913
H427,0.036790460775432146
H428,0.7880354811066265
H429,0.5564881458034165
H430,0.02619289906874718
H431,0.2404564367802404
H432,0.6655452250643519
H433,0.017137622922283335
H434,0.8290188666616845
H435,0.8326676596499447
H436,0.7648223214108308
H437,0.24136315930115
H438,0.5048868591437937
H439,0.5877790605850809
H440,0.2690754965781704
H441,0.03159785822934627
H442,0.12334106728350504
H443,0.1827925373693574
H444,0.6629969428987632
H445,0.3853971700747482
H446,0.4151586133281232
H447,0.037638721603246696
H448,0.12234533321237985
H449,0.7356147146077345
H450,0.4344986194106326
H451,0.7958446687600481
H452,0.3411909690667415
H453,0.017587466504681494
H454,0.649204147339806
H455,0.8256250811800163
H456,0.012444325526820092
H457,0.41688679789591726
H458,0.6448911873278492
H459,0.8029537889915072
H460,0.14908615916992804
H461,0.7078977076858707
H462,0.6762270422264931
H463,0.811530479679603
H464,0.24066488382526707
H465,0.09355177282792985
H466,0.2809058615172641
H467,0.3086019665980315
H468,0.2838740623437698
H469,0.6825866719675034
H470,0.1324283306723534
H471,0.2903040717976352
H472,0.3038817814727608
H473,0.5396402420408765
H474,0.4332884995959254
H475,0.36159932303197384
H476,0.8447796733597122
H477,0.3349354711066114
H478,0.7061078034276342
H479,0.7982962918049036
